2023-09-09T10:58:32.826587+0300 | INFO | database:create_tables:56 | DB tables created
2023-09-09T10:58:32.898091+0300 | INFO | __main__:startup:21 | Bot started
2023-09-09T10:58:55.216862+0300 | INFO | __main__:shutdown:25 | Bot finished
2023-09-09T10:58:57.804201+0300 | INFO | database:create_tables:56 | DB tables created
2023-09-09T10:58:57.893652+0300 | INFO | __main__:startup:12 | Bot started
2023-09-09T11:08:19.265295+0300 | INFO | __main__:shutdown:16 | Bot finished
2023-09-09T11:08:23.070005+0300 | INFO | database:create_tables:56 | DB tables created
2023-09-09T11:08:23.217617+0300 | INFO | __main__:startup:12 | Bot started
2023-09-09T11:09:32.382242+0300 | INFO | __main__:shutdown:16 | Bot finished
2023-09-09T11:09:35.199341+0300 | INFO | database:create_tables:56 | DB tables created
2023-09-09T11:09:35.328069+0300 | INFO | __main__:startup:12 | Bot started
2023-09-09T13:45:56.023979+0300 | INFO | __main__:shutdown:16 | Bot finished
2023-09-09T13:45:59.044171+0300 | INFO | __main__:shutdown:16 | Bot finished
2023-09-09T13:50:19.485545+0300 | INFO | __main__:shutdown:16 | Bot finished
2023-09-09T13:50:43.491685+0300 | INFO | database:create_tables:56 | DB tables created
2023-09-09T13:50:43.562295+0300 | INFO | __main__:startup:12 | Bot started
2023-09-09T16:24:04.389093+0300 | INFO | __main__:shutdown:16 | Bot finished
2023-09-09T16:43:12.074580+0300 | INFO | database:create_tables:56 | DB tables created
2023-09-09T16:43:12.256968+0300 | INFO | __main__:startup:12 | Bot started
2023-09-09T16:44:05.398193+0300 | INFO | __main__:shutdown:16 | Bot finished
2023-09-09T16:44:08.279489+0300 | INFO | database:create_tables:56 | DB tables created
2023-09-09T16:44:08.420028+0300 | INFO | __main__:startup:12 | Bot started
2023-09-09T16:44:27.855155+0300 | INFO | __main__:shutdown:16 | Bot finished
2023-09-09T16:44:30.332964+0300 | INFO | database:create_tables:56 | DB tables created
2023-09-09T16:44:30.444039+0300 | INFO | __main__:startup:12 | Bot started
2023-09-09T16:44:54.341545+0300 | INFO | __main__:shutdown:16 | Bot finished
2023-09-09T16:44:56.906472+0300 | INFO | database:create_tables:56 | DB tables created
2023-09-09T16:44:57.080429+0300 | INFO | __main__:startup:12 | Bot started
2023-09-09T16:50:55.408351+0300 | INFO | __main__:shutdown:16 | Bot finished
2023-09-09T16:50:58.220339+0300 | INFO | database:create_tables:56 | DB tables created
2023-09-09T16:50:58.356672+0300 | INFO | __main__:startup:12 | Bot started
2023-09-09T16:53:39.161245+0300 | INFO | __main__:shutdown:16 | Bot finished
2023-09-09T16:53:53.894158+0300 | INFO | database:create_tables:56 | DB tables created
2023-09-09T16:53:53.962513+0300 | INFO | __main__:startup:12 | Bot started
